Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),100,0.8777534437884847,0.01016210216145686,0.9339710544686504,0.0054098978661483435,0.8801780289872119,0.007125219668494529,0.9948022239198709,0.00566452903637249,0.768235421748849,0.05317407302032239,0.23481082371316084,0.12527834905729188,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,235,2085,80,15310,
Logistic Regression (All),100,0.7620478638989399,0.028906982674191305,0.8534327732321719,0.019939366057416585,0.9166706363698772,0.016018407144856514,0.7990943043884219,0.03253823779013953,0.7334269977204759,0.055452375442147275,0.24910970825550344,0.07703610341668676,peptide_len,X8_SY,isoelectric_point,1198,1122,3092,12298,
SVM (All),100,0.8690592268139402,0.002214901555183913,0.9299374305792242,0.0012583353422172525,0.8690521646670476,0.002194730600226877,1.0,0.0,0.7655018420411642,0.052551222456610196,0.0019504737440137348,0.019406968716999783,aliphatic_index,instability_index,isoelectric_point,1,2319,0,15390,
K-Neighbors (All),100,0.8694543896400685,0.003771910965856109,0.9300837300078819,0.002052931322553941,0.8699013433135334,0.003004165207945835,0.9992207792207793,0.0023013045645025004,0.7004303105190255,0.05096351983797587,0.03397208611754496,0.07845482393786372,aliphatic_index,instability_index,isoelectric_point,20,2300,12,15378,
Decision Tree (All),100,0.8597416365136799,0.015705231811923057,0.9225511021913533,0.008984665928116538,0.8866072594726524,0.010466303452115147,0.9617999320940497,0.017301145325710553,0.7199511264760626,0.05430169851411908,0.2079517979075788,0.10480918844599292,hydrophobic_janin,peptide_len,non-polar_group,424,1896,588,14802,
Naive Bayes (All),100,0.34511331175014276,0.037203652271470364,0.4208187559941592,0.05254921277792431,0.9041297758860732,0.03597555753135536,0.2758972073677956,0.04442875751184402,0.6714413191714981,0.06894418118570157,0.061719303941965585,0.06299650829414413,aliphatic_index,instability_index,isoelectric_point,1866,454,11144,4246,
Random Forest (Mann-Whitney),100,0.8741379419793056,0.013657644142092966,0.9312603955851935,0.0075810491307201485,0.8861919427750077,0.008813677241026755,0.9812889398183517,0.0125014969333112,0.7569354333740524,0.05093334215480419,0.25773445625720204,0.1067317093458023,hydrophobic_janin,hydrophobic_eisenberg,charge,379,1941,288,15102,
Random Forest (Wilcoxon),100,0.8761147083095284,0.013595266180304188,0.9323321764856912,0.007554129851892083,0.8872637520129787,0.008199850417386722,0.9823270520329344,0.011946825586858759,0.7640982963233602,0.050127976636414176,0.27512447774299637,0.10440644696841363,hydrophobic_janin,hydrophobic_eisenberg,charge,398,1922,272,15118,
Random Forest (Kruskal),100,0.8741379419793056,0.013657644142092966,0.9312603955851935,0.0075810491307201485,0.8861919427750077,0.008813677241026755,0.9812889398183517,0.0125014969333112,0.7569354333740524,0.05093334215480419,0.25773445625720204,0.1067317093458023,hydrophobic_janin,hydrophobic_eisenberg,charge,379,1941,288,15102,
Random Forest (Chi-square),100,0.8751542563321273,0.012190877768455103,0.9318263865021088,0.006754717272512688,0.8866239349571862,0.008168250335710512,0.98200195229607,0.01139801782029211,0.7585947981520234,0.05109439832835559,0.2641764055392082,0.10072739881309709,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,386,1934,277,15113,
Random Forest (Kolmogorov-Smirnov),100,0.8761156605091093,0.013277788399503325,0.932338008203293,0.007373694469838127,0.8872280777822696,0.008380713507290813,0.9823928359222478,0.011882181613072614,0.7586923914273662,0.051212157054002484,0.2732143755007025,0.1040107292364732,hydrophobic_janin,hydrophobic_eisenberg,charge,397,1923,271,15119,
Logistic Regression (Mann-Whitney),100,0.7034355360883642,0.03153618385815225,0.8036982455857138,0.0246990912972608,0.9437307063218451,0.015743250144555326,0.7007147101264749,0.035849219648126436,0.7780412308753101,0.04690753523067057,0.29863058620324634,0.06192181239679809,peptide_len,hydrophobic_kyte-doolittle,X5_K,1674,646,4606,10784,
Logistic Regression (Wilcoxon),100,0.7060896337205611,0.0303872870407583,0.8059444131677822,0.02349499294666224,0.9434397689354584,0.0161432426916929,0.7042229012817249,0.034222787604587,0.7766219703735687,0.04781425148817296,0.2995157162558508,0.06354226874382495,peptide_len,hydrophobic_kyte-doolittle,X5_K,1667,653,4552,10838,
Logistic Regression (Kruskal),100,0.7034355360883642,0.03153618385815225,0.8036982455857138,0.0246990912972608,0.9437307063218451,0.015743250144555326,0.7007147101264749,0.035849219648126436,0.7780412308753101,0.04690753523067057,0.29863058620324634,0.06192181239679809,peptide_len,hydrophobic_kyte-doolittle,X5_K,1674,646,4606,10784,
Logistic Regression (Chi-square),100,0.7034355360883642,0.03153618385815225,0.8036982455857138,0.0246990912972608,0.9437307063218451,0.015743250144555326,0.7007147101264749,0.035849219648126436,0.7780412308753101,0.04690753523067057,0.29863058620324634,0.06192181239679809,peptide_len,hydrophobic_kyte-doolittle,X5_K,1674,646,4606,10784,
Logistic Regression (Kolmogorov-Smirnov),100,0.6934999682600139,0.02923402831949536,0.7961735082583451,0.022967002271318347,0.9413707873869425,0.016178638911282135,0.6905194805194806,0.032656386986451555,0.77466259769169,0.04732675474510303,0.2840862872205141,0.06144587992632769,peptide_len,hydrophobic_kyte-doolittle,X5_K,1655,665,4763,10627,
SVM (Mann-Whitney),100,0.8744223322541739,0.009666490129294568,0.9322198823046733,0.005236947972772122,0.877894541339208,0.006538893617033981,0.9937632628809099,0.007400038503298173,0.6713268032289771,0.06493206567487468,0.19963554398073532,0.11417858115407761,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,192,2128,96,15294,
SVM (Wilcoxon),100,0.8751561607312894,0.00911815506167102,0.9326651821687922,0.00490677099902612,0.8777680583507071,0.006407548004475384,0.9949325184619303,0.006595865190375195,0.6871177022631625,0.06368661543437067,0.20286419178138831,0.11494962961752073,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,187,2133,78,15312,
SVM (Kruskal),100,0.8744223322541739,0.009666490129294568,0.9322198823046733,0.005236947972772122,0.877894541339208,0.006538893617033981,0.9937632628809099,0.007400038503298173,0.6713268032289771,0.06493206567487468,0.19963554398073532,0.11417858115407761,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,192,2128,96,15294,
SVM (Chi-square),100,0.8744223322541739,0.009666490129294568,0.9322198823046733,0.005236947972772122,0.877894541339208,0.006538893617033981,0.9937632628809099,0.007400038503298173,0.6713268032289771,0.06493206567487468,0.19963554398073532,0.11417858115407761,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,192,2128,96,15294,
SVM (Kolmogorov-Smirnov),100,0.8752132927061511,0.009302700717455047,0.9326534085100165,0.005001852276136032,0.8782537462903793,0.006557782019070832,0.9942827434003906,0.006577299867958264,0.6742757490567594,0.06375671365634047,0.2056314092069515,0.11555854709695501,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,198,2122,88,15302,
K-Neighbors (Mann-Whitney),100,0.8719920015235192,0.013654310307320611,0.9301345979264497,0.00754443173563002,0.8846098343520855,0.00852589567072302,0.9807015533486121,0.011565734887981335,0.7111331221113828,0.056912921498857044,0.23547063765884527,0.11195635358179265,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,350,1970,297,15093,
K-Neighbors (Wilcoxon),100,0.8737983241287373,0.012550931961934051,0.93109524107108,0.007032280780849062,0.8857299966414449,0.007815016288425994,0.9814824717765892,0.012372921523403925,0.7330981947566028,0.055272803755436375,0.2540434727041366,0.09813502554186207,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,370,1950,285,15105,
K-Neighbors (Kruskal),100,0.8719920015235192,0.013654310307320611,0.9301345979264497,0.00754443173563002,0.8846098343520855,0.00852589567072302,0.9807015533486121,0.011565734887981335,0.7111331221113828,0.056912921498857044,0.23547063765884527,0.11195635358179265,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,350,1970,297,15093,
K-Neighbors (Chi-square),100,0.8719920015235192,0.013654310307320611,0.9301345979264497,0.00754443173563002,0.8846098343520855,0.00852589567072302,0.9807015533486121,0.011565734887981335,0.7111331221113828,0.056912921498857044,0.23547063765884527,0.11195635358179265,hydrophobic_janin,hydrophobic_kyte-doolittle,non-polar_group,350,1970,297,15093,
K-Neighbors (Kolmogorov-Smirnov),100,0.8750431663810068,0.01412897975215674,0.93180336439095,0.007725946040451126,0.8862458145460903,0.009223435989653443,0.9823898650369238,0.010650057531311057,0.7077462048170169,0.0542675329572736,0.25847647030001086,0.12035004297564764,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,378,1942,271,15119,
Decision Tree (Mann-Whitney),100,0.8664606741573034,0.014821785935079308,0.9264265719097006,0.008440830630771242,0.8885566025912781,0.011116797463442452,0.9679666412019352,0.016992642401588775,0.743890154821261,0.04833542293287972,0.2382768674224255,0.10873461889203337,hydrophobic_janin,peptide_len,charge,448,1872,493,14897,
Decision Tree (Wilcoxon),100,0.8664600393575828,0.014571698439749255,0.9263832596174297,0.008292580104450518,0.8890361906088872,0.011389511634207296,0.9673172905525849,0.016973629178554054,0.742280404750833,0.04688557733190231,0.24055473460486557,0.10762715062845153,hydrophobic_janin,peptide_len,charge,458,1862,503,14887,
Decision Tree (Kruskal),100,0.8664606741573034,0.014821785935079308,0.9264265719097006,0.008440830630771242,0.8885566025912781,0.011116797463442452,0.9679666412019352,0.016992642401588775,0.743890154821261,0.04833542293287972,0.2382768674224255,0.10873461889203337,hydrophobic_janin,peptide_len,charge,448,1872,493,14897,
